python train.py config/train_shakespeare_char.py
Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
/home/linux/taewony/SPAK/examples/KernelEngineer/nanoGPT/train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
iter 760: loss 1.4382, time 27.88ms, mfu 12.06%
iter 770: loss 1.4260, time 27.92ms, mfu 12.19%
iter 780: loss 1.4145, time 28.03ms, mfu 12.30%
iter 790: loss 1.4092, time 28.02ms, mfu 12.40%
iter 800: loss 1.4290, time 27.83ms, mfu 12.50%
iter 810: loss 1.3993, time 28.02ms, mfu 12.58%
iter 820: loss 1.4030, time 28.04ms, mfu 12.65%
iter 830: loss 1.3912, time 28.04ms, mfu 12.71%
iter 840: loss 1.3999, time 28.04ms, mfu 12.77%
iter 850: loss 1.3868, time 28.00ms, mfu 12.82%
iter 860: loss 1.3903, time 27.99ms, mfu 12.87%
iter 870: loss 1.3937, time 28.00ms, mfu 12.92%
iter 880: loss 1.3667, time 28.00ms, mfu 12.96%
iter 890: loss 1.3911, time 28.01ms, mfu 12.99%
iter 900: loss 1.3700, time 27.96ms, mfu 13.02%
iter 910: loss 1.3199, time 28.01ms, mfu 13.05%
iter 920: loss 1.3535, time 27.94ms, mfu 13.08%
iter 930: loss 1.3532, time 28.00ms, mfu 13.10%
iter 940: loss 1.3397, time 28.00ms, mfu 13.12%
iter 950: loss 1.3532, time 27.97ms, mfu 13.14%
iter 960: loss 1.3589, time 28.05ms, mfu 13.16%
iter 970: loss 1.3553, time 28.03ms, mfu 13.17%
iter 980: loss 1.3504, time 27.97ms, mfu 13.19%
iter 990: loss 1.3321, time 27.98ms, mfu 13.20%
step 1000: train loss 1.2715, val loss 1.5201
saving checkpoint to out-shakespeare-char
...
step 4750: train loss 0.6328, val loss 1.6914
iter 4750: loss 0.7995, time 3945.10ms, mfu 11.83%
iter 4760: loss 0.8165, time 28.09ms, mfu 11.98%
iter 4770: loss 0.7978, time 28.16ms, mfu 12.10%
iter 4780: loss 0.8115, time 28.17ms, mfu 12.22%
iter 4790: loss 0.8307, time 28.11ms, mfu 12.32%
iter 4800: loss 0.8151, time 28.14ms, mfu 12.41%
iter 4810: loss 0.8442, time 28.18ms, mfu 12.49%
iter 4820: loss 0.8181, time 28.07ms, mfu 12.57%
iter 4830: loss 0.8171, time 28.13ms, mfu 12.64%
iter 4840: loss 0.8289, time 28.14ms, mfu 12.70%
iter 4850: loss 0.8144, time 28.12ms, mfu 12.75%
iter 4860: loss 0.8138, time 28.14ms, mfu 12.80%
iter 4870: loss 0.8085, time 28.10ms, mfu 12.85%
iter 4880: loss 0.8247, time 28.12ms, mfu 12.89%
iter 4890: loss 0.8115, time 28.11ms, mfu 12.93%
iter 4900: loss 0.8042, time 28.11ms, mfu 12.96%
iter 4910: loss 0.8343, time 28.11ms, mfu 12.99%
iter 4920: loss 0.8187, time 28.16ms, mfu 13.01%
iter 4930: loss 0.8106, time 28.11ms, mfu 13.04%
iter 4940: loss 0.7983, time 28.18ms, mfu 13.06%
iter 4950: loss 0.8202, time 28.10ms, mfu 13.08%
iter 4960: loss 0.8280, time 28.12ms, mfu 13.09%
iter 4970: loss 0.7935, time 28.10ms, mfu 13.11%
iter 4980: loss 0.7928, time 28.13ms, mfu 13.12%
iter 4990: loss 0.8180, time 28.16ms, mfu 13.14%
step 5000: train loss 0.6173, val loss 1.7097
iter 5000: loss 0.8142, time 3951.21ms, mfu 11.83%
